ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Subtype	Biosample Name	Biosample Description	Species	Strain
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196218	GSE49265	GEMM_RPnull	GSM1196218	Brain	Normal Forebrain	RNA of 215214_Forebrain_RPnull	Genotype:Kras G12D+/-; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPnull
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196219	GSE49265	GEMM_T	GSM1196219	Brain	LGA tumor A2 at Forebrain	RNA of 220727_Forebrain_T	Genotype:TgGZT 121 ; GFAP-CreER	Mus musculus	C57/Bl6:T
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196220	GSE49265	GEMM_T	GSM1196220	Brain	LGA tumor A2 at Forebrain	RNA of 221184_Forebrain_T	Genotype:TgGZT 121 ; GFAP-CreER	Mus musculus	C57/Bl6:T
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196221	GSE49265	GEMM_TRPhet	GSM1196221	Brain	LGA tumor A2 at Forebrain	RNA of 216175_Forebrain_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196222	GSE49265	GEMM_TRPhet	GSM1196222	Brain	LGA tumor A2 at Forebrain	RNA of 214828_Forebrain_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196223	GSE49266	GEMM_TR	GSM1196223	Brain	HGA glioma GBM at Brainstem	RNA of 232366_BS_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196224	GSE49266	GEMM_TRPhet	GSM1196224	Brain	HGA glioma GBM at Brainstem	RNA of 233106_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196225	GSE49266	GEMM_TRPhet	GSM1196225	Brain	HGA glioma GBM at Cortex	RNA of 233117_OFB_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196226	GSE49266	GEMM_TRPhet	GSM1196226	Brain	HGA glioma GBM at Olfactory bulb	RNA of 233352_OFB_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196227	GSE49266	GEMM_TRPhet	GSM1196227	Brain	HGA glioma GBM at Olfactory bulb	RNA of 234451_OFB_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196228	GSE49266	GEMM_TRPhet	GSM1196228	Brain	HGA glioma GBM at Diencephalon	RNA of 234458_Di_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196229	GSE49266	GEMM_TR	GSM1196229	Brain	HGA glioma GBM at Brainstem	RNA of 234750_BS_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196230	GSE49266	GEMM_TR	GSM1196230	Brain	HGA glioma GBM at Brainstem	RNA of 235316_BS_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196231	GSE49266	GEMM_TR	GSM1196231	Brain	HGA glioma GBM at Brainstem	RNA of 235344_1_BS_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196232	GSE49266	GEMM_TR	GSM1196232	Brain	HGA glioma A3 at Brainstem	RNA of 235791_BS_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196233	GSE49266	GEMM_TRPhet	GSM1196233	Brain	HGA glioma GBM at Cortex	RNA of 236024_1_Ctx_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196234	GSE49266	GEMM_TRPnull	GSM1196234	Brain	HGA glioma A3 at Cortex	RNA of 236070_Ctx_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196235	GSE49266	GEMM_TRPnull	GSM1196235	Brain	HGA glioma GBM at Diencephalon	RNA of 241102_Di_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196236	GSE49266	GEMM_TRPhet	GSM1196236	Brain	HGA glioma GBM at Brainstem	RNA of 241898_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196237	GSE49266	GEMM_TR	GSM1196237	Brain	HGA glioma A3 at Brainstem	RNA of 242092_BS_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196238	GSE49266	GEMM_TRPnull	GSM1196238	Brain	HGA glioma GBM at Diencephalon	RNA of 242486_Di_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196239	GSE49266	GEMM_TRPhet	GSM1196239	Brain	HGA glioma A3 at Diencephalon	RNA of 244189_Di_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196240	GSE49266	GEMM_TRPhet	GSM1196240	Brain	HGA glioma GBM at Cortex	RNA of 244605_Ctx_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196241	GSE49266	GEMM_TRPhet	GSM1196241	Brain	HGA glioma GBM at Olfactory bulb	RNA of 244706_1_OFB_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196242	GSE49266	GEMM_TRPhet	GSM1196242	Brain	HGA glioma GBM at Brainstem	RNA of 244706_2_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196243	GSE49266	GEMM_TRPhet	GSM1196243	Brain	HGA glioma A3 at Cortex	RNA of 244939_1_Ctx_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196244	GSE49266	GEMM_TRPhet	GSM1196244	Brain	HGA glioma A3 at Brainstem	RNA of 245016_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196245	GSE49266	GEMM_TRPhet	GSM1196245	Brain	HGA glioma GBM at Cortex	RNA of 245116_1_Ctx_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196246	GSE49266	GEMM_TRPhet	GSM1196246	Brain	HGA glioma GBM at Diencephalon	RNA of 245116_2_Di_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196247	GSE49266	GEMM_TRPnull	GSM1196247	Brain	HGA glioma A3 at Brainstem	RNA of 245586_BS_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196248	GSE49266	GEMM_TRPhet	GSM1196248	Brain	HGA glioma GBM at Brainstem	RNA of 245662_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196249	GSE49266	GEMM_TRPnull	GSM1196249	Brain	HGA glioma A3 at Olfactory bulb	RNA of 245665_OFB_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196250	GSE49266	GEMM_TRPhet	GSM1196250	Brain	HGA glioma GBM at Brainstem	RNA of 245936_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196251	GSE49266	GEMM_TRPnull	GSM1196251	Brain	HGA glioma GBM at Cortex	RNA of 246270_1_Ctx_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196252	GSE49266	GEMM_TR	GSM1196252	Brain	HGA glioma GBM at Diencephalon	RNA of 235344_2_Di_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196253	GSE49266	GEMM_TRPhet	GSM1196253	Brain	HGA glioma GBM at Olfactory bulb	RNA of 236024_2_OFB_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196254	GSE49266	GEMM_TRPhet	GSM1196254	Brain	HGA glioma GBM at Olfactory bulb	RNA of 243852_OFB_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196255	GSE49266	GEMM_TRPhet	GSM1196255	Brain	HGA glioma A3 at Brainstem	RNA of 244190_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196256	GSE49266	GEMM_TRPhet	GSM1196256	Brain	HGA glioma A3 at Olfactory bulb	RNA of 244939_2_OFB_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196257	GSE49266	GEMM_TRPnull	GSM1196257	Brain	HGA glioma GBM at Diencephalon	RNA of 245237_Di_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196258	GSE49266	GEMM_TRPhet	GSM1196258	Brain	HGA glioma A3 at Brainstem	RNA of 245304_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196259	GSE49266	GEMM_TRPhet	GSM1196259	Brain	HGA glioma GBM at Brainstem	RNA of 245660_1_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196260	GSE49266	GEMM_TRPhet	GSM1196260	Brain	HGA glioma GBM at Olfactory bulb	RNA of 245660_2_OFB_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196261	GSE49266	GEMM_TR	GSM1196261	Brain	HGA glioma A3 at Diencephalon	RNA of 245861_Di_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196262	GSE49266	GEMM_TRPnull	GSM1196262	Brain	HGA glioma GBM at Olfactory bulb	RNA of 246270_2_OFB_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196263	GSE49266	GEMM_TRPhet	GSM1196263	Brain	HGA glioma GBM at Brainstem	RNA of 246300_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196264	GSE49266	GEMM_TRPhet	GSM1196264	Brain	HGA glioma GBM at Brainstem	RNA of 246302_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196265	GSE49266	GEMM_TR	GSM1196265	Brain	HGA glioma GBM at Cortex	RNA of 246742_Ctx_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950182	GSE38814	Hum_GBM Xenograft	GSM950182	Brain	xenograft orothotopic glioblastoma	RNA of GBM10		Homo sapient	GBM Xenograft[G10]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950183	GSE38814	Hum_GBM Xenograft	GSM950183	Brain	xenograft orothotopic glioblastoma	RNA of GBM102		Homo sapient	GBM Xenograft[G102]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950184	GSE38814	Hum_GBM Xenograft	GSM950184	Brain	xenograft orothotopic glioblastoma	RNA of GBM116		Homo sapient	GBM Xenograft[G116]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950185	GSE38814	Hum_GBM Xenograft	GSM950185	Brain	xenograft orothotopic glioblastoma	RNA of GBM117		Homo sapient	GBM Xenograft[G117]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950186	GSE38814	Hum_GBM Xenograft	GSM950186	Brain	xenograft orothotopic glioblastoma	RNA of GBM12		Homo sapient	GBM Xenograft[G12]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950187	GSE38814	Hum_GBM Xenograft	GSM950187	Brain	xenograft orothotopic glioblastoma	RNA of GBM16		Homo sapient	GBM Xenograft[G16]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950188	GSE38814	Hum_GBM Xenograft	GSM950188	Brain	xenograft orothotopic glioblastoma	RNA of GBM22		Homo sapient	GBM Xenograft[G22]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950189	GSE38814	Hum_GBM Xenograft	GSM950189	Brain	xenograft orothotopic glioblastoma	RNA of GBM36		Homo sapient	GBM Xenograft[G36]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950190	GSE38814	Hum_GBM Xenograft	GSM950190	Brain	xenograft orothotopic glioblastoma	RNA of GBM38	Female 71.7 yr at diagnosis	Homo sapient	GBM Xenograft[G38]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950191	GSE38814	Hum_GBM Xenograft	GSM950191	Brain	xenograft orothotopic glioblastoma	RNA of GBM43	 Male 69 yr at diagnosis	Homo sapient	GBM Xenograft[G43]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950192	GSE38814	Hum_GBM Xenograft	GSM950192	Brain	xenograft orothotopic glioblastoma	RNA of GBM46		Homo sapient	GBM Xenograft[G46]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950193	GSE38814	Hum_GBM Xenograft	GSM950193	Brain	xenograft orothotopic glioblastoma	RNA of GBM5		Homo sapient	GBM Xenograft[G5]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950194	GSE38814	Hum_GBM Xenograft	GSM950194	Brain	xenograft orothotopic glioblastoma	RNA of GBM55		Homo sapient	GBM Xenograft[G55]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950195	GSE38814	Hum_GBM Xenograft	GSM950195	Brain	xenograft orothotopic glioblastoma	RNA of GBM6	 Male 65 yr at diagnosis	Homo sapient	GBM Xenograft[G6]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950196	GSE38814	Hum_GBM Xenograft	GSM950196	Brain	xenograft orothotopic glioblastoma	RNA of GBM61		Homo sapient	GBM Xenograft[G61]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950197	GSE38814	Hum_GBM Xenograft	GSM950197	Brain	xenograft orothotopic glioblastoma	RNA of GBM64		Homo sapient	GBM Xenograft[G64]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950198	GSE38814	Hum_GBM Xenograft	GSM950198	Brain	xenograft orothotopic glioblastoma	RNA of GBM76		Homo sapient	GBM Xenograft[G76]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950199	GSE38814	Hum_GBM Xenograft	GSM950199	Brain	xenograft orothotopic glioblastoma	RNA of GBM79		Homo sapient	GBM Xenograft[G79]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950200	GSE38814	Hum_GBM Xenograft	GSM950200	Brain	xenograft orothotopic glioblastoma	RNA of GBM80		Homo sapient	GBM Xenograft[G80]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950201	GSE38814	Hum_GBM Xenograft	GSM950201	Brain	xenograft orothotopic glioblastoma	RNA of GBM84		Homo sapient	GBM Xenograft[G84]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950202	GSE38814	Hum_GBM Xenograft	GSM950202	Brain	xenograft orothotopic glioblastoma	RNA of GBM85		Homo sapient	GBM Xenograft[G85]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950203	GSE38814	Hum_GBM Xenograft	GSM950203	Brain	xenograft orothotopic glioblastoma	RNA of GBM91		Homo sapient	GBM Xenograft[G91]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950204	GSE38814	Hum_GBM Xenograft	GSM950204	Brain	xenograft orothotopic glioblastoma	RNA of GBM14	 Male 57 yr at diagnosis	Homo sapient	GBM Xenograft[GBM 14]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950205	GSE38814	Hum_GBM Xenograft	GSM950205	Brain	xenograft orothotopic glioblastoma	RNA of GBM39	 Male 51 yr at diagnosis	Homo sapient	GBM Xenograft[GBM 39]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950206	GSE38814	Hum_GBM Xenograft	GSM950206	Brain	xenograft orothotopic glioblastoma	RNA of GBM44		Homo sapient	GBM Xenograft[GBM 44]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950207	GSE38814	Hum_GBM Xenograft	GSM950207	Brain	xenograft orothotopic glioblastoma	RNA of GBM59		Homo sapient	GBM Xenograft[GBM 59]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950208	GSE38814	Hum_GBM Xenograft	GSM950208	Brain	xenograft orothotopic glioblastoma	RNA of GBM66		Homo sapient	GBM Xenograft[GBM 66]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950209	GSE38814	Hum_GBM Xenograft	GSM950209	Brain	xenograft orothotopic glioblastoma	RNA of GS-2		Homo sapient	GBM Xenograft[GS-2]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950210	GSE38814	Hum_GBM Xenograft	GSM950210	Brain	xenograft orothotopic glioblastoma	RNA of MDAGSC17		Homo sapient	GBM Xenograft[MDAGSC17]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950211	GSE38814	Hum_GBM Xenograft	GSM950211	Brain	xenograft orothotopic glioblastoma	RNA of N30	 Male 46 yr at diagnosis	Homo sapient	GBM Xenograft[N30]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950212	GSE38814	Hum_GBM Xenograft	GSM950212	Brain	xenograft orothotopic glioblastoma	RNA of NS2	 Male 55 yr at diagnosis	Homo sapient	GBM Xenograft[NS2]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950213	GSE38814	Hum_GBM Xenograft	GSM950213	Brain	xenograft orothotopic glioblastoma	RNA of S2303	 Male 62 yr at diagnosis	Homo sapient	GBM Xenograft[S2303]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950214	GSE38814	Hum_GBM Xenograft	GSM950214	Brain	xenograft orothotopic glioblastoma	RNA of S2354	 Male 61 yr at diagnosis	Homo sapient	GBM Xenograft[S2354]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950215	GSE38814	Hum_GBM Xenograft	GSM950215	Brain	xenograft orothotopic glioblastoma	RNA of S2355	 Male 59 yr at diagnosis	Homo sapient	GBM Xenograft[S2355]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950216	GSE38814	Hum_GBM Xenograft	GSM950216	Brain	xenograft orothotopic glioblastoma	RNA of S2381	 Male 66 yr at diagnosis	Homo sapient	GBM Xenograft[S2381]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950217	GSE38814	Hum_GBM Xenograft	GSM950217	Brain	xenograft orothotopic glioblastoma	RNA of S2414	 Female 66 yr at diagnosis	Homo sapient	GBM Xenograft[S2414]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950218	GSE38814	Hum_GBM Xenograft	GSM950218	Brain	xenograft orothotopic glioblastoma	RNA of SF7300		Homo sapient	GBM Xenograft[SF7300]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950219	GSE38814	Hum_GBM Xenograft	GSM950219	Brain	xenograft orothotopic glioblastoma	RNA of SF7796		Homo sapient	GBM Xenograft[SF7796]
SDY1113	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM950220	GSE38814	Hum_GBM Xenograft	GSM950220	Brain	xenograft orothotopic glioblastoma	RNA of X1016p16	 Male 58 yr at diagnosis	Homo sapient	GBM Xenograft[X1016p16]
